Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
Alexander Isak,€70.00m,Centre-Forward,['Left Winger'],Sweden,"Sep 21, 1999 (24)",Solna  ,Sweden,"1,92 m",Newcastle United,"Jun 30, 2028",-,-,#14,right,adidas
Christopher Nkunku,€70.00m,Attacking Midfield,"['Second Striker', 'Left Winger']",France,"Nov 14, 1997 (26)",Lagny-sur-Marne  ,France,"1,77 m",Chelsea FC,"Jun 30, 2029",-,-,#18,right,adidas
Frenkie de Jong,€70.00m,Central Midfield,['Defensive Midfield'],Netherlands,"May 12, 1997 (26)",Arkel  ,Netherlands,"1,81 m",FC Barcelona,"Jun 30, 2026",-,-,#21,right,Nike
Alessandro Bastoni,€70.00m,Centre-Back,[],Italy,"Apr 13, 1999 (25)",Casalmaggiore  ,Italy,"1,90 m",Inter Milan,"Jun 30, 2028",-,-,#95,left,Puma
Trent Alexander-Arnold,€70.00m,Right-Back,"['Defensive Midfield', 'Central Midfield']",England,"Oct 7, 1998 (25)",Liverpool  ,England,"1,80 m",Liverpool FC,"Jun 30, 2025",-,-,#66,right,adidas
James Maddison,€70.00m,Attacking Midfield,"['Central Midfield', 'Right Midfield']",England,"Nov 23, 1996 (27)",Coventry  ,England,"1,75 m",Tottenham Hotspur,"Jun 30, 2028",-,-,#10,right,Puma
Bruno Fernandes,€70.00m,Attacking Midfield,"['Second Striker', 'Central Midfield']",Portugal,"Sep 8, 1994 (29)",Maia  ,Portugal,"1,79 m",Manchester United,"Jun 30, 2026",-,-,#8,right,Nike
Leroy Sané,€70.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Germany,"Jan 11, 1996 (28)",Essen  ,Germany,"1,83 m",Bayern Munich,"Jun 30, 2025",-,-,#10,left,Nike
Rasmus Højlund,€65.00m,Centre-Forward,[],Denmark,"Feb 4, 2003 (21)",København  ,Denmark,"1,91 m",Manchester United,"Jun 30, 2028",-,-,#11,left,
Jérémy Doku,€65.00m,Left Winger,['Right Winger'],Belgium,"May 27, 2002 (21)",Borgerhout  ,Belgium,"1,73 m",Manchester City,"Jun 30, 2028",-,-,#11,right,
Lucas Paquetá,€65.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",Brazil,"Aug 27, 1997 (26)",Paquetá  ,Brazil,"1,80 m",West Ham United,"Jun 30, 2027",-,-,#10,left,Nike
Gabriel Magalhães,€65.00m,Centre-Back,[],Brazil,"Dec 19, 1997 (26)",São Paulo  ,Brazil,"1,90 m",Arsenal FC,"Jun 30, 2027",-,-,#6,left,
Achraf Hakimi,€65.00m,Right-Back,"['Right Midfield', 'Left-Back']",Morocco,"Nov 4, 1998 (25)",Madrid  ,Spain,"1,81 m",Paris Saint-Germain,"Jun 30, 2026",-,-,#2,right,adidas
Dušan Vlahović,€65.00m,Centre-Forward,[],Serbia,"Jan 28, 2000 (24)",Belgrade  ,Yugoslavia (Republic),"1,90 m",Juventus FC,"Jun 30, 2026",-,-,#9,left,Nike
Matthijs de Ligt,€65.00m,Centre-Back,[],Netherlands,"Aug 12, 1999 (24)",Leiderdorp  ,Netherlands,"1,89 m",Bayern Munich,"Jun 30, 2027",-,-,#4,right,Nike
Ollie Watkins,€65.00m,Centre-Forward,"['Right Winger', 'Left Winger']",England,"Dec 30, 1995 (28)",Torquay  ,England,"1,80 m",Aston Villa,"Jun 30, 2028",-,-,#11,right,Under Armour
Kingsley Coman,€65.00m,Left Winger,['Right Winger'],France,"Jun 13, 1996 (27)",Paris  ,France,"1,81 m",Bayern Munich,"Jun 30, 2027",-,-,#11,right,Puma
Jack Grealish,€65.00m,Left Winger,['Attacking Midfield'],England,"Sep 10, 1995 (28)",Birmingham  ,England,"1,80 m",Manchester City,"Jun 30, 2027",-,-,#10,right,Puma
Mohamed Salah,€65.00m,Right Winger,"['Second Striker', 'Centre-Forward']",Egypt,"Jun 15, 1992 (31)","Nagrig, Basyoun  ",Egypt,"1,75 m",Liverpool FC,"Jun 30, 2025",-,-,#11,left,adidas
Warren Zaïre-Emery,€60.00m,Central Midfield,['Defensive Midfield'],France,"Mar 8, 2006 (18)",Montreuil  ,France,"1,78 m",Paris Saint-Germain,"Jun 30, 2025",-,-,#33,right,Nike
Evan Ferguson,€60.00m,Centre-Forward,['Right Winger'],Ireland,"Oct 19, 2004 (19)","Bettystown, Meath  ",Ireland,"1,88 m",Brighton & Hove Albion,"Jun 30, 2029",-,-,#28,right,
Nuno Mendes,€60.00m,Left-Back,['Left Midfield'],Portugal,"Jun 19, 2002 (21)",Lisboa  ,Portugal,"1,83 m",Paris Saint-Germain,"Jun 30, 2026",-,-,#25,left,adidas
Bremer,€60.00m,Centre-Back,[],Brazil,"Mar 18, 1997 (27)",Itapitanga  ,Brazil,"1,88 m",Juventus FC,"Jun 30, 2028",-,-,#3,right,Puma
Randal Kolo Muani,€60.00m,Centre-Forward,"['Right Winger', 'Left Winger']",France,"Dec 5, 1998 (25)",Bondy  ,France,"1,87 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#23,right,adidas
Manuel Ugarte,€60.00m,Defensive Midfield,['Central Midfield'],Uruguay,"Apr 11, 2001 (23)",Montevideo  ,Uruguay,"1,82 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#4,right,adidas
Alphonso Davies,€60.00m,Left-Back,"['Left Winger', 'Left Midfield']",Canada,"Nov 2, 2000 (23)",Buduburam  ,Ghana,"1,85 m",Bayern Munich,"Jun 30, 2025",-,-,#19,left,
Takefusa Kubo,€60.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",Japan,"Jun 4, 2001 (22)","Kawasaki, Kanagawa  ",Japan,"1,73 m",Real Sociedad,"Jun 30, 2029",-,-,#14,left,
Loïs Openda,€60.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Belgium,"Feb 16, 2000 (24)",Liège  ,Belgium,"1,77 m",RB Leipzig,"Jun 30, 2028",-,-,#17,right,Nike
Cristian Romero,€60.00m,Centre-Back,[],Argentina,"Apr 27, 1998 (25)",Córdoba  ,Argentina,"1,85 m",Tottenham Hotspur,"Jun 30, 2027",-,-,#17,right,
Theo Hernández,€60.00m,Left-Back,"['Left Midfield', 'Centre-Back']",France,"Oct 6, 1997 (26)",Marseille  ,France,"1,84 m",AC Milan,"Jun 30, 2026",-,-,#19,left,
Marcus Thuram,€60.00m,Centre-Forward,['Left Winger'],France,"Aug 6, 1997 (26)",Parma  ,Italy,"1,92 m",Inter Milan,"Jun 30, 2028",-,-,#9,right,Nike
Kai Havertz,€60.00m,Attacking Midfield,"['Centre-Forward', 'Right Winger']",Germany,"Jun 11, 1999 (24)",Aachen  ,Germany,"1,93 m",Arsenal FC,"Jun 30, 2028",-,-,#29,left,Puma
Ousmane Dembélé,€60.00m,Right Winger,['Left Winger'],France,"May 15, 1997 (26)",Vernon  ,France,"1,78 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#10,both,adidas
Marcus Rashford,€60.00m,Left Winger,"['Centre-Forward', 'Right Winger']",England,"Oct 31, 1997 (26)",Manchester  ,England,"1,85 m",Manchester United,"Jun 30, 2028",-,-,#10,right,Nike
Joshua Kimmich,€60.00m,Right-Back,"['Defensive Midfield', 'Central Midfield']",Germany,"Feb 8, 1995 (29)",Rottweil  ,Germany,"1,77 m",Bayern Munich,"Jun 30, 2025",-,-,#6,right,
Kevin De Bruyne,€60.00m,Attacking Midfield,['Central Midfield'],Belgium,"Jun 28, 1991 (32)",Drongen  ,Belgium,"1,81 m",Manchester City,"Jun 30, 2025",-,-,#17,right,Nike
Endrick,€55.00m,Centre-Forward,"['Second Striker', 'Right Winger']",Brazil,"Jul 21, 2006 (17)",Taguatinga  ,Brazil,"1,73 m",Sociedade Esportiva Palmeiras,"Jun 30, 2025",-,-,#9,left,New Balance
Cole Palmer,€55.00m,Attacking Midfield,"['Right Winger', 'Centre-Forward']",England,"May 6, 2002 (21)",Manchester  ,England,"1,89 m",Chelsea FC,"Jun 30, 2030",-,-,#20,left,Nike
Min-jae Kim,€55.00m,Centre-Back,[],South Korea,"Nov 15, 1996 (27)","Tongyeong, Gyeongnam  ","Korea, South","1,90 m",Bayern Munich,"Jun 30, 2028",-,-,#3,right,Nike
Pedro Neto,€55.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",Portugal,"Mar 9, 2000 (24)",Viana do Castelo  ,Portugal,"1,72 m",Wolverhampton Wanderers,"Jun 30, 2027",-,-,#7,left,
Dejan Kulusevski,€55.00m,Right Winger,['Attacking Midfield'],Sweden,"Apr 25, 2000 (23)",Stockholm  ,Sweden,"1,86 m",Tottenham Hotspur,"Jun 30, 2028",-,-,#21,left,
Moussa Diaby,€55.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",France,"Jul 7, 1999 (24)",Paris  ,France,"1,71 m",Aston Villa,"Jun 30, 2028",-,-,#19,left,
Ben White,€55.00m,Right-Back,"['Centre-Back', 'Defensive Midfield']",England,"Oct 8, 1997 (26)",Poole  ,England,"1,86 m",Arsenal FC,"Jun 30, 2028",-,-,#4,right,adidas
Viktor Gyökeres,€55.00m,Centre-Forward,[],Sweden,"Jun 4, 1998 (25)",Stockholm  ,Sweden,"1,87 m",Sporting CP,"Jun 30, 2028",-,-,#9,right,Nike
João Palhinha,€55.00m,Defensive Midfield,[],Portugal,"Jul 9, 1995 (28)",Lisboa  ,Portugal,"1,90 m",Fulham FC,"Jun 30, 2028",-,-,#26,right,adidas
Marquinhos,€55.00m,Centre-Back,"['Defensive Midfield', 'Right-Back']",Brazil,"May 14, 1994 (29)",São Paulo  ,Brazil,"1,83 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#5,right,Nike
Nico Williams,€50.00m,Left Winger,['Right Winger'],Spain,"Jul 12, 2002 (21)",Pamplona  ,Spain,"1,81 m",Athletic Bilbao,"Jun 30, 2027",-,-,#11,right,Nike
Levi Colwill,€50.00m,Centre-Back,['Left-Back'],England,"Feb 26, 2003 (21)",Southampton  ,England,"1,87 m",Chelsea FC,"Jun 30, 2029",-,-,#26,left,
Matheus Nunes,€50.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Portugal,"Aug 27, 1998 (25)",Rio de Janeiro  ,Brazil,"1,83 m",Manchester City,"Jun 30, 2028",-,-,#27,right,
Michael Olise,€50.00m,Right Winger,"['Attacking Midfield', 'Right Midfield']",France U21,"Dec 12, 2001 (22)",London  ,England,"1,84 m",Crystal Palace,"Jun 30, 2027",-,-,#7,left,Nike
Micky van de Ven,€50.00m,Centre-Back,['Left-Back'],Netherlands,"Apr 19, 2001 (23)",Wormer  ,Netherlands,"1,93 m",Tottenham Hotspur,"Jun 30, 2029",-,-,#37,left,
Gonçalo Ramos,€50.00m,Centre-Forward,[],Portugal,"Jun 20, 2001 (22)",Olhão  ,Portugal,"1,85 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#9,right,Nike
Mohammed Kudus,€50.00m,Attacking Midfield,"['Centre-Forward', 'Right Winger']",Ghana,"Aug 2, 2000 (23)",Accra  ,Ghana,"1,77 m",West Ham United,"Jun 30, 2028",-,-,#14,left,Puma
Jonathan David,€50.00m,Centre-Forward,"['Second Striker', 'Attacking Midfield']",Canada,"Jan 14, 2000 (24)","Brooklyn, New York  ",United States,"1,80 m",LOSC Lille,"Jun 30, 2025",-,-,#9,both,adidas
Anthony Gordon,€50.00m,Left Winger,"['Right Winger', 'Centre-Forward']",England,"Feb 24, 2001 (23)",Liverpool  ,England,"1,82 m",Newcastle United,"Jun 30, 2026",-,-,#10,right,adidas
Amadou Onana,€50.00m,Defensive Midfield,['Central Midfield'],Belgium,"Aug 16, 2001 (22)",Dakar  ,Senegal,"1,95 m",Everton FC,"Jun 30, 2027",-,-,#8,right,
Jeremie Frimpong,€50.00m,Right Midfield,"['Right-Back', 'Right Winger']",Netherlands,"Dec 10, 2000 (23)",Amsterdam  ,Netherlands,"1,72 m",Bayer 04 Leverkusen,"Jun 30, 2028",-,-,#30,right,Puma
Reece James,€50.00m,Right-Back,"['Centre-Back', 'Right Midfield']",England,"Dec 8, 1999 (24)",London  ,England,"1,80 m",Chelsea FC,"Jun 30, 2028",-,-,#24,right,Nike
