Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
Kaoru Mitoma,€45.00m,Left Winger,['Left Midfield'],Japan,"May 20, 1997 (26)","Kawasaki, Kanagawa  ",Japan,"1,78 m",Brighton & Hove Albion,"Jun 30, 2027",-,-,#22,right,Puma
Vitinha,€45.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Portugal,"Feb 13, 2000 (24)",Vila das Aves  ,Portugal,"1,72 m",Paris Saint-Germain,"Jun 30, 2027",-,-,#17,right,Nike
Lisandro Martínez,€45.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",Argentina,"Jan 18, 1998 (26)",Gualeguay  ,Argentina,"1,75 m",Manchester United,"Jun 30, 2027",-,-,#6,left,
Pau Torres,€45.00m,Centre-Back,[],Spain,"Jan 16, 1997 (27)",Villarreal  ,Spain,"1,92 m",Aston Villa,"Jun 30, 2028",-,-,#14,left,
Sven Botman,€45.00m,Centre-Back,[],Netherlands,"Jan 12, 2000 (24)",Badhoevedorp  ,Netherlands,"1,95 m",Newcastle United,"Jun 30, 2027",-,-,#4,left,adidas
Diogo Costa,€45.00m,Goalkeeper,[],Portugal,"Sep 19, 1999 (24)",Rothrist  ,Switzerland,"1,86 m",FC Porto,"Jun 30, 2027",-,-,#99,right,adidas
Ibrahima Konaté,€45.00m,Centre-Back,[],France,"May 25, 1999 (24)",Paris  ,France,"1,94 m",Liverpool FC,"Jun 30, 2026",-,-,#5,right,Nike
Lucas Hernández,€45.00m,Left-Back,['Centre-Back'],France,"Feb 14, 1996 (28)",Marseille  ,France,"1,84 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#21,left,Nike
Alejandro Grimaldo,€45.00m,Left-Back,['Left Midfield'],Spain,"Sep 20, 1995 (28)",Valencia  ,Spain,"1,71 m",Bayer 04 Leverkusen,"Jun 30, 2027",-,-,#20,left,adidas
Serge Gnabry,€45.00m,Right Winger,"['Left Winger', 'Second Striker']",Germany,"Jul 14, 1995 (28)",Stuttgart  ,Germany,"1,76 m",Bayern Munich,"Jun 30, 2026",-,-,#7,right,adidas
Raheem Sterling,€45.00m,Left Winger,"['Right Winger', 'Centre-Forward']",England,"Dec 8, 1994 (29)",Kingston  ,Jamaica,"1,70 m",Chelsea FC,"Jun 30, 2027",-,-,#7,right,New Balance
Neymar,€45.00m,Left Winger,"['Second Striker', 'Attacking Midfield']",Brazil,"Feb 5, 1992 (32)",Mogi das Cruzes  ,Brazil,"1,75 m",Al-Hilal SFC,"Jun 30, 2025",-,-,#10,right,Puma
Matheus Cunha,€42.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"May 27, 1999 (24)",João Pessoa  ,Brazil,"1,83 m",Wolverhampton Wanderers,"Jun 30, 2027",-,-,#12,right,Nike
Jacob Ramsey,€42.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",England U21,"May 28, 2001 (22)",Birmingham  ,England,"1,80 m",Aston Villa,"Jun 30, 2027",-,-,#41,right,
Axel Disasi,€42.00m,Centre-Back,['Right-Back'],France,"Mar 11, 1998 (26)",Gonesse  ,France,"1,90 m",Chelsea FC,"Jun 30, 2029",-,-,#2,right,
Joelinton,€42.00m,Central Midfield,"['Attacking Midfield', 'Left Winger']",Brazil,"Aug 14, 1996 (27)",Aliança  ,Brazil,"1,86 m",Newcastle United,"Jun 30, 2028",-,-,#7,right,
Manuel Akanji,€42.00m,Centre-Back,"['Right-Back', 'Left-Back']",Switzerland,"Jul 19, 1995 (28)",Wiesendangen  ,Switzerland,"1,88 m",Manchester City,"Jun 30, 2027",-,-,#25,right,Puma
Oleksandr Zinchenko,€42.00m,Left-Back,"['Left Midfield', 'Central Midfield']",Ukraine,"Dec 15, 1996 (27)","Radomyshl, Zhytomyr Oblast  ",Ukraine,"1,75 m",Arsenal FC,"Jun 30, 2026",-,-,#35,left,
Samu Omorodion,€40.00m,Centre-Forward,[],Spain U21,"May 5, 2004 (19)",Melilla  ,Spain,"1,93 m",Deportivo Alavés,"Jun 30, 2024",Atlético de Madrid,"Jun 30, 2028",#32,right,
Ousmane Diomande,€40.00m,Centre-Back,[],Ivory Coast,"Dec 4, 2003 (20)",Abidjan  ,Cote d'Ivoire,"1,90 m",Sporting CP,"Jun 30, 2027",-,-,#26,right,
Vitor Roque,€40.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil U23,"Feb 28, 2005 (19)",Timóteo  ,Brazil,"1,72 m",FC Barcelona,"Jun 30, 2031",-,-,#19,right,Nike
Leny Yoro,€40.00m,Centre-Back,[],France U23,"Nov 13, 2005 (18)",Saint-Maurice  ,France,"1,90 m",LOSC Lille,"Jun 30, 2025",-,-,#15,right,
Alejandro Garnacho,€40.00m,Left Winger,['Right Winger'],Argentina,"Jul 1, 2004 (19)",Madrid  ,Spain,"1,80 m",Manchester United,"Jun 30, 2028",-,-,#17,right,Nike
Mathys Tel,€40.00m,Left Winger,"['Right Winger', 'Centre-Forward']",France U21,"Apr 27, 2005 (18)",Sarcelles  ,France,"1,83 m",Bayern Munich,"Jun 30, 2029",-,-,#39,right,
Sávio,€40.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Brazil,"Apr 10, 2004 (20)",São Mateus  ,Brazil,"1,76 m",Girona FC,"Jun 30, 2024",ESTAC Troyes,"Jun 30, 2027",#16,left,Nike
Bradley Barcola,€40.00m,Left Winger,"['Right Winger', 'Centre-Forward']",France U23,"Sep 2, 2002 (21)",Lyon  ,France,"1,82 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#29,right,
Victor Boniface,€40.00m,Centre-Forward,[],Nigeria,"Dec 23, 2000 (23)",Akure  ,Nigeria,"1,90 m",Bayer 04 Leverkusen,"Jun 30, 2028",-,-,#22,right,
Alejandro Balde,€40.00m,Left-Back,"['Left Winger', 'Right-Back']",Spain,"Oct 18, 2003 (20)",Barcelona  ,Spain,"1,75 m",FC Barcelona,"Jun 30, 2028",-,-,#3,left,Nike
Roméo Lavia,€40.00m,Defensive Midfield,['Central Midfield'],Belgium,"Jan 6, 2004 (20)",Brussels  ,Belgium,"1,81 m",Chelsea FC,"Jun 30, 2030",-,-,#45,right,adidas
Benjamin Sesko,€40.00m,Centre-Forward,[],Slovenia,"May 31, 2003 (20)",Radeče  ,Slovenia,"1,95 m",RB Leipzig,"Jun 30, 2028",-,-,#30,right,
Castello Lukeba,€40.00m,Centre-Back,[],France U23,"Dec 17, 2002 (21)",Lyon  ,France,"1,84 m",RB Leipzig,"Jun 30, 2028",-,-,#23,left,
Pape Matar Sarr,€40.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Senegal,"Sep 14, 2002 (21)",Thiaroye  ,Senegal,"1,84 m",Tottenham Hotspur,"Jun 30, 2030",-,-,#29,right,
Johan Bakayoko,€40.00m,Right Winger,[],Belgium,"Apr 20, 2003 (21)",Overijse  ,Belgium,"1,79 m",PSV Eindhoven,"Jun 30, 2026",-,-,#11,left,Puma
Edmond Tapsoba,€40.00m,Centre-Back,[],Burkina Faso,"Feb 2, 1999 (25)",Ouagadougou  ,Burkina Faso,"1,94 m",Bayer 04 Leverkusen,"Jun 30, 2028",-,-,#12,right,
Gonçalo Inácio,€40.00m,Centre-Back,['Defensive Midfield'],Portugal,"Aug 25, 2001 (22)",Almada  ,Portugal,"1,86 m",Sporting CP,"Jun 30, 2027",-,-,#25,left,
Nicolás González,€40.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Argentina,"Apr 6, 1998 (26)",Belén de Escobar  ,Argentina,"1,80 m",ACF Fiorentina,"Jun 30, 2028",-,-,#10,left,
Joshua Zirkzee,€40.00m,Centre-Forward,['Second Striker'],Netherlands U21,"May 22, 2001 (22)",Schiedam  ,Netherlands,"1,93 m",Bologna FC 1909,"Jun 30, 2026",-,-,#9,right,Nike
Morgan Gibbs-White,€40.00m,Attacking Midfield,"['Central Midfield', 'Second Striker']",England U21,"Jan 27, 2000 (24)",Stafford  ,England,"1,71 m",Nottingham Forest,"Jun 30, 2027",-,-,#10,right,
Jurrien Timber,€40.00m,Centre-Back,"['Right-Back', 'Left-Back']",Netherlands,"Jun 17, 2001 (22)",Utrecht  ,Netherlands,"1,79 m",Arsenal FC,"Jun 30, 2028",-,-,#12,right,adidas
Exequiel Palacios,€40.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Argentina,"Oct 5, 1998 (25)",Famaillá  ,Argentina,"1,77 m",Bayer 04 Leverkusen,"Jun 30, 2028",-,-,#25,right,
Sandro Tonali,€40.00m,Defensive Midfield,['Central Midfield'],Italy,"May 8, 2000 (23)",Lodi  ,Italy,"1,81 m",Newcastle United,"Jun 30, 2028",-,-,#8,right,Nike
Richarlison,€40.00m,Centre-Forward,"['Left Winger', 'Right Winger']",Brazil,"May 10, 1997 (26)",Nova Venécia  ,Brazil,"1,84 m",Tottenham Hotspur,"Jun 30, 2027",-,-,#9,right,Nike
Teun Koopmeiners,€40.00m,Attacking Midfield,"['Central Midfield', 'Defensive Midfield']",Netherlands,"Feb 28, 1998 (26)",Castricum  ,Netherlands,"1,84 m",Atalanta BC,"Jun 30, 2027",-,-,#7,left,
Robin Le Normand,€40.00m,Centre-Back,[],Spain,"Nov 11, 1996 (27)",Pabu  ,France,"1,87 m",Real Sociedad,"Jun 30, 2026",-,-,#24,right,
Mason Mount,€40.00m,Attacking Midfield,"['Central Midfield', 'Left Midfield']",England,"Jan 10, 1999 (25)",Portsmouth  ,England,"1,81 m",Manchester United,"Jun 30, 2028",-,-,#7,right,Nike
Federico Chiesa,€40.00m,Left Winger,"['Right Winger', 'Second Striker']",Italy,"Oct 25, 1997 (26)",Genova  ,Italy,"1,75 m",Juventus FC,"Jun 30, 2025",-,-,#7,right,Nike
Donyell Malen,€40.00m,Right Winger,"['Centre-Forward', 'Left Winger']",Netherlands,"Jan 19, 1999 (25)",Wieringen  ,Netherlands,"1,76 m",Borussia Dortmund,"Jun 30, 2026",-,-,#21,right,Nike
Gianluigi Donnarumma,€40.00m,Goalkeeper,[],Italy,"Feb 25, 1999 (25)",Castellammare di Stabia  ,Italy,"1,96 m",Paris Saint-Germain,"Jun 30, 2026",-,-,#99,right,adidas
Brais Méndez,€40.00m,Attacking Midfield,"['Central Midfield', 'Right Winger']",Spain,"Jan 7, 1997 (27)",Mos  ,Spain,"1,84 m",Real Sociedad,"Jun 30, 2028",-,-,#23,left,
Fikayo Tomori,€40.00m,Centre-Back,['Right-Back'],England,"Dec 19, 1997 (26)","Calgary, Alberta  ",Canada,"1,85 m",AC Milan,"Jun 30, 2027",-,-,#23,right,adidas
Serhou Guirassy,€40.00m,Centre-Forward,['Left Winger'],Guinea,"Mar 12, 1996 (28)",Arles  ,France,"1,87 m",VfB Stuttgart,"Jun 30, 2026",-,-,#9,right,adidas
Gregor Kobel,€40.00m,Goalkeeper,[],Switzerland,"Dec 6, 1997 (26)",Zürich  ,Switzerland,"1,96 m",Borussia Dortmund,"Jun 30, 2028",-,-,#1,right,
Ederson,€40.00m,Goalkeeper,[],Brazil,"Aug 17, 1993 (30)",Osasco (SP)  ,Brazil,"1,88 m",Manchester City,"Jun 30, 2026",-,-,#31,left,Puma
André Onana,€40.00m,Goalkeeper,[],Cameroon,"Apr 2, 1996 (28)",Nkol Ngok  ,Cameroon,"1,90 m",Manchester United,"Jun 30, 2028",-,-,#24,right,adidas
Rúben Neves,€40.00m,Defensive Midfield,['Central Midfield'],Portugal,"Mar 13, 1997 (27)",Santa Maria da Feira  ,Portugal,"1,80 m",Al-Hilal SFC,"Jun 30, 2026",-,-,#8,right,Nike
Milan Skriniar,€40.00m,Centre-Back,[],Slovakia,"Feb 11, 1995 (29)",Žiar nad Hronom  ,Slovakia,"1,88 m",Paris Saint-Germain,"Jun 30, 2028",-,-,#37,right,Puma
Andreas Christensen,€40.00m,Centre-Back,['Defensive Midfield'],Denmark,"Apr 10, 1996 (28)",Lillerød  ,Denmark,"1,87 m",FC Barcelona,"Jun 30, 2026",-,-,#15,right,adidas
Julian Brandt,€40.00m,Attacking Midfield,"['Right Winger', 'Left Winger']",Germany,"May 2, 1996 (27)",Bremen  ,Germany,"1,85 m",Borussia Dortmund,"Jun 30, 2026",-,-,#19,right,Nike
Adrien Rabiot,€40.00m,Central Midfield,"['Defensive Midfield', 'Left Midfield']",France,"Apr 3, 1995 (29)",Saint-Maurice  ,France,"1,88 m",Juventus FC,"Jun 30, 2024",-,-,#25,left,adidas
Mike Maignan,€40.00m,Goalkeeper,[],France,"Jul 3, 1995 (28)",Cayenne  ,French Guiana,"1,91 m",AC Milan,"Jun 30, 2026",-,-,#16,right,
Nathan Aké,€40.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",Netherlands,"Feb 18, 1995 (29)",Den Haag  ,Netherlands,"1,80 m",Manchester City,"Jun 30, 2027",-,-,#6,left,Nike
Hakan Çalhanoğlu,€40.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Türkiye,"Feb 8, 1994 (30)",Mannheim  ,Germany,"1,78 m",Inter Milan,"Jun 30, 2027",-,-,#20,right,Nike
Rico Lewis,€38.00m,Right-Back,"['Defensive Midfield', 'Right Midfield']",England,"Nov 21, 2004 (19)",Bury  ,England,"1,69 m",Manchester City,"Jun 30, 2028",-,-,#82,right,
Bryan Mbeumo,€38.00m,Right Winger,"['Second Striker', 'Centre-Forward']",Cameroon,"Aug 7, 1999 (24)",Avallon  ,France,"1,71 m",Brentford FC,"Jun 30, 2026",-,-,#19,left,
Boubacar Kamara,€38.00m,Defensive Midfield,"['Centre-Back', 'Central Midfield']",France,"Nov 23, 1999 (24)",Marseille  ,France,"1,84 m",Aston Villa,"Jun 30, 2027",-,-,#44,right,Nike
Marc Guéhi,€38.00m,Centre-Back,[],England,"Jul 13, 2000 (23)",Abidjan  ,Cote d'Ivoire,"1,82 m",Crystal Palace,"Jun 30, 2026",-,-,#6,right,
Nayef Aguerd,€38.00m,Centre-Back,[],Morocco,"Mar 30, 1996 (28)",Kénitra  ,Morocco,"1,90 m",West Ham United,"Jun 30, 2027",-,-,#27,left,
John Stones,€38.00m,Centre-Back,"['Right-Back', 'Defensive Midfield']",England,"May 28, 1994 (29)",Barnsley  ,England,"1,88 m",Manchester City,"Jun 30, 2026",-,-,#5,right,Nike
Leandro Trossard,€38.00m,Left Winger,"['Attacking Midfield', 'Second Striker']",Belgium,"Dec 4, 1994 (29)",Waterschei  ,Belgium,"1,72 m",Arsenal FC,"Jun 30, 2026",-,-,#19,right,
Kobbie Mainoo,€35.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",England,"Apr 19, 2005 (19)",Stockport  ,England,"1,75 m",Manchester United,"Jun 30, 2027",-,-,#37,right,
Nicolas Jackson,€35.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Senegal,"Jun 20, 2001 (22)",Djibonker  ,Senegal,"1,88 m",Chelsea FC,"Jun 30, 2031",-,-,#15,right,
Mohamed Simakan,€35.00m,Centre-Back,['Right-Back'],France U21,"May 3, 2000 (23)",Marseille  ,France,"1,87 m",RB Leipzig,"Jun 30, 2027",-,-,#2,right,Puma
Piero Hincapié,€35.00m,Centre-Back,"['Left-Back', 'Left Midfield']",Ecuador,"Jan 9, 2002 (22)",Esmeraldas  ,Ecuador,"1,84 m",Bayer 04 Leverkusen,"Jun 30, 2027",-,-,#3,left,adidas
Elye Wahi,€35.00m,Centre-Forward,"['Right Winger', 'Left Winger']",France U23,"Jan 2, 2003 (21)",Courcouronnes  ,France,"1,81 m",RC Lens,"Jun 30, 2028",-,-,#9,right,adidas
Odilon Kossounou,€35.00m,Centre-Back,['Right-Back'],Ivory Coast,"Jan 4, 2001 (23)",Abidjan  ,Cote d'Ivoire,"1,91 m",Bayer 04 Leverkusen,"Jun 30, 2026",-,-,#6,right,
Jean-Clair Todibo,€35.00m,Centre-Back,[],France,"Dec 30, 1999 (24)",Cayenne  ,French Guiana,"1,90 m",OGC Nice,"Jun 30, 2027",-,-,#6,right,adidas
