Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
Edson Álvarez,€35.00m,Defensive Midfield,['Centre-Back'],Mexico,"Oct 24, 1997 (26)",Tlalnepantla  ,Mexico,"1,90 m",West Ham United,"Jun 30, 2028",-,-,#19,right,adidas
Ferran Torres,€35.00m,Left Winger,"['Right Winger', 'Centre-Forward']",Spain,"Feb 29, 2000 (24)",Foios  ,Spain,"1,84 m",FC Barcelona,"Jun 30, 2027",-,-,#7,right,adidas
Harvey Barnes,€35.00m,Left Winger,"['Left Midfield', 'Attacking Midfield']",England,"Dec 9, 1997 (26)",Burnley  ,England,"1,82 m",Newcastle United,"Jun 30, 2028",-,-,#15,right,
Leon Bailey,€35.00m,Left Winger,['Right Winger'],Jamaica,"Aug 9, 1997 (26)",Kingston  ,Jamaica,"1,78 m",Aston Villa,"Jun 30, 2027",-,-,#31,left,Nike
Diogo Dalot,€35.00m,Right-Back,"['Right Midfield', 'Left-Back']",Portugal,"Mar 18, 1999 (25)",Braga  ,Portugal,"1,83 m",Manchester United,"Jun 30, 2028",-,-,#20,right,Nike
Rodrigo Bentancur,€35.00m,Central Midfield,['Defensive Midfield'],Uruguay,"Jun 25, 1997 (26)",Nueva Helvecia  ,Uruguay,"1,87 m",Tottenham Hotspur,"Jun 30, 2026",-,-,#30,right,adidas
Ismaël Bennacer,€35.00m,Defensive Midfield,"['Attacking Midfield', 'Central Midfield']",Algeria,"Dec 1, 1997 (26)",Arles  ,France,"1,75 m",AC Milan,"Jun 30, 2027",-,-,#4,left,
Pervis Estupiñán,€35.00m,Left-Back,['Left Midfield'],Ecuador,"Jan 21, 1998 (26)",Esmeraldas  ,Ecuador,"1,75 m",Brighton & Hove Albion,"Jun 30, 2027",-,-,#30,left,Nike
Joe Willock,€35.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",England U21,"Aug 20, 1999 (24)",London  ,England,"1,86 m",Newcastle United,"Jun 30, 2027",-,-,#28,right,adidas
Tammy Abraham,€35.00m,Centre-Forward,[],England,"Oct 2, 1997 (26)",London  ,England,"1,94 m",AS Roma,"Jun 30, 2026",-,-,#9,right,Nike
Brahim Díaz,€35.00m,Attacking Midfield,"['Right Winger', 'Second Striker']",Morocco,"Aug 3, 1999 (24)",Málaga  ,Spain,"1,70 m",Real Madrid,"Jun 30, 2027",-,-,#21,both,adidas
Guglielmo Vicario,€35.00m,Goalkeeper,[],Italy,"Oct 7, 1996 (27)",Udine  ,Italy,"1,94 m",Tottenham Hotspur,"Jun 30, 2028",-,-,#13,right,
Tomas Soucek,€35.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Czechia,"Feb 27, 1995 (29)",Havlíčkův Brod  ,Czech Republic,"1,92 m",West Ham United,"Jun 30, 2027",-,-,#28,right,
Sergej Milinković-Savić,€35.00m,Central Midfield,['Attacking Midfield'],Serbia,"Feb 27, 1995 (29)",Lleida  ,Spain,"1,92 m",Al-Hilal SFC,"Jun 30, 2026",-,-,#22,right,Nike
David Raya,€35.00m,Goalkeeper,[],Spain,"Sep 15, 1995 (28)",Barcelona  ,Spain,"1,83 m",Arsenal FC,"Jun 30, 2024",Brentford FC,"Jun 30, 2025",#22,right,
Joachim Andersen,€35.00m,Centre-Back,[],Denmark,"May 31, 1996 (27)",Frederiksberg  ,Denmark,"1,92 m",Crystal Palace,"Jun 30, 2026",-,-,#16,right,
Dominic Solanke,€35.00m,Centre-Forward,[],England,"Sep 14, 1997 (26)",Basingstoke  ,England,"1,86 m",AFC Bournemouth,"Jun 30, 2027",-,-,#9,right,adidas
Andrew Robertson,€35.00m,Left-Back,['Left Midfield'],Scotland,"Mar 11, 1994 (30)",Glasgow  ,Scotland,"1,78 m",Liverpool FC,"Jun 30, 2026",-,-,#26,left,Nike
Fabinho,€35.00m,Defensive Midfield,['Centre-Back'],Brazil,"Oct 23, 1993 (30)",Campinas  ,Brazil,"1,88 m",Al-Ittihad Club,"Jun 30, 2026",-,-,#8,right,adidas
Luke Shaw,€35.00m,Left-Back,"['Left Midfield', 'Centre-Back']",England,"Jul 12, 1995 (28)",London  ,England,"1,78 m",Manchester United,"Jun 30, 2027",-,-,#23,left,adidas
James Ward-Prowse,€35.00m,Central Midfield,"['Attacking Midfield', 'Right Midfield']",England,"Nov 1, 1994 (29)",Portsmouth  ,England,"1,77 m",West Ham United,"Jun 30, 2027",-,-,#7,right,
Manuel Locatelli,€33.00m,Defensive Midfield,['Central Midfield'],Italy,"Jan 8, 1998 (26)",Lecco  ,Italy,"1,85 m",Juventus FC,"Jun 30, 2028",-,-,#5,right,
Malo Gusto,€32.00m,Right-Back,['Right Midfield'],France,"May 19, 2003 (20)",Décines-Charpieu  ,France,"1,78 m",Chelsea FC,"Jun 30, 2030",-,-,#27,right,
Rayan Aït-Nouri,€32.00m,Left-Back,['Left Midfield'],Algeria,"Jun 6, 2001 (22)",Montreuil  ,France,"1,80 m",Wolverhampton Wanderers,"Jun 30, 2026",-,-,#3,left,
Wesley Fofana,€32.00m,Centre-Back,[],France,"Dec 17, 2000 (23)",Marseille  ,France,"1,86 m",Chelsea FC,"Jun 30, 2029",-,-,#33,right,adidas
Benoît Badiashile,€32.00m,Centre-Back,['Left-Back'],France,"Mar 26, 2001 (23)",Limoges  ,France,"1,94 m",Chelsea FC,"Jun 30, 2030",-,-,#5,left,adidas
Lutsharel Geertruida,€32.00m,Right-Back,"['Centre-Back', 'Defensive Midfield']",Netherlands,"Jul 18, 2000 (23)",Rotterdam  ,Netherlands,"1,84 m",Feyenoord Rotterdam,"Jun 30, 2025",-,-,#4,right,adidas
Joey Veerman,€32.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Netherlands,"Nov 19, 1998 (25)",Purmerend  ,Netherlands,"1,85 m",PSV Eindhoven,"Jun 30, 2026",-,-,#23,right,adidas
Ibrahim Sangaré,€32.00m,Defensive Midfield,['Central Midfield'],Ivory Coast,"Dec 2, 1997 (26)",Abidjan  ,Cote d'Ivoire,"1,91 m",Nottingham Forest,"Jun 30, 2028",-,-,#6,right,
Scott McTominay,€32.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Scotland,"Dec 8, 1996 (27)",Lancaster  ,England,"1,91 m",Manchester United,"Jun 30, 2025",-,-,#39,right,adidas
Christian Pulisic,€32.00m,Right Winger,"['Left Winger', 'Attacking Midfield']",USA,"Sep 18, 1998 (25)","Hershey, Pennsylvania  ",United States,"1,77 m",AC Milan,"Jun 30, 2027",-,-,#11,right,Puma
Virgil van Dijk,€32.00m,Centre-Back,[],Netherlands,"Jul 8, 1991 (32)",Breda  ,Netherlands,"1,93 m",Liverpool FC,"Jun 30, 2025",-,-,#4,right,Nike
Alisson,€32.00m,Goalkeeper,[],Brazil,"Oct 2, 1992 (31)",Novo Hamburgo  ,Brazil,"1,93 m",Liverpool FC,"Jun 30, 2027",-,-,#1,right,Nike
Arthur Vermeeren,€30.00m,Central Midfield,['Defensive Midfield'],Belgium,"Feb 7, 2005 (19)",Lier  ,Belgium,"1,80 m",Atlético de Madrid,"Jun 30, 2030",-,-,#18,right,
Kenan Yıldız,€30.00m,Second Striker,"['Left Winger', 'Right Winger']",Türkiye,"May 4, 2005 (18)",Regensburg  ,Germany,"1,87 m",Juventus FC,"Jun 30, 2027",-,-,#15,both,adidas
Evanilson,€30.00m,Centre-Forward,[],Brazil U23,"Oct 6, 1999 (24)",Fortaleza  ,Brazil,"1,83 m",FC Porto,"Jun 30, 2027",-,-,#30,both,
Gabri Veiga,€30.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Spain U21,"May 27, 2002 (21)",Porriño  ,Spain,"1,85 m",Al-Ahli SFC,"Jun 30, 2026",-,-,#24,right,adidas
Willian Pacho,€30.00m,Centre-Back,[],Ecuador,"Oct 16, 2001 (22)",Quinindé  ,Ecuador,"1,87 m",Eintracht Frankfurt,"Jun 30, 2028",-,-,#3,left,
Jarrad Branthwaite,€30.00m,Centre-Back,[],England,"Jun 27, 2002 (21)",Carlisle  ,England,"1,95 m",Everton FC,"Jun 30, 2027",-,-,#32,left,
Simon Adingra,€30.00m,Left Winger,['Right Winger'],Ivory Coast,"Jan 1, 2002 (22)",Abobo  ,Cote d'Ivoire,"1,75 m",Brighton & Hove Albion,"Jun 30, 2026",-,-,#24,right,
Éderson,€30.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Brazil U20,"Jul 7, 1999 (24)",Campo Grande  ,Brazil,"1,83 m",Atalanta BC,"Jun 30, 2026",-,-,#13,right,adidas
Aaron Hickey,€30.00m,Right-Back,"['Left-Back', 'Left Midfield']",Scotland,"Jun 10, 2002 (21)",Glasgow  ,Scotland,"1,85 m",Brentford FC,"Jun 30, 2026",-,-,#2,both,
Enzo Millot,€30.00m,Attacking Midfield,"['Central Midfield', 'Right Winger']",France U23,"Jul 17, 2002 (21)",Lucé  ,France,"1,74 m",VfB Stuttgart,"Jun 30, 2028",-,-,#8,left,
Yéremy Pino,€30.00m,Right Winger,['Left Winger'],Spain,"Oct 20, 2002 (21)",Las Palmas  ,Spain,"1,72 m",Villarreal CF,"Jun 30, 2027",-,-,#21,right,
Malick Thiaw,€30.00m,Centre-Back,"['Defensive Midfield', 'Right-Back']",Germany,"Aug 8, 2001 (22)",Düsseldorf  ,Germany,"1,94 m",AC Milan,"Jun 30, 2027",-,-,#28,right,Under Armour
Folarin Balogun,€30.00m,Centre-Forward,[],USA,"Jul 3, 2001 (22)","New York City, New York  ",United States,"1,78 m",AS Monaco,"Jun 30, 2028",-,-,#29,right,adidas
Ian Maatsen,€30.00m,Left-Back,"['Left Midfield', 'Left Winger']",Netherlands U21,"Mar 10, 2002 (22)",Vlaardingen  ,Netherlands,"1,78 m",Borussia Dortmund,"Jun 30, 2024",Chelsea FC,"Jun 30, 2026",#22,left,
Kiernan Dewsbury-Hall,€30.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",,"Sep 6, 1998 (25)",Shepshed  ,England,"1,78 m",Leicester City,"Jun 30, 2027",-,-,#22,left,
Ansu Fati,€30.00m,Left Winger,"['Attacking Midfield', 'Centre-Forward']",Spain,"Oct 31, 2002 (21)",Bissau  ,Guinea-Bissau,"1,78 m",Brighton & Hove Albion,"Jun 30, 2024",FC Barcelona,"Jun 30, 2027",#31,right,Nike
João Félix,€30.00m,Left Winger,"['Second Striker', 'Centre-Forward']",Portugal,"Nov 10, 1999 (24)",Viseu  ,Portugal,"1,81 m",FC Barcelona,"Jun 30, 2024",Atlético de Madrid,"Jun 30, 2029",#14,right,adidas
Morten Hjulmand,€30.00m,Defensive Midfield,"['Central Midfield', 'Attacking Midfield']",Denmark,"Jun 25, 1999 (24)",Kastrup  ,Denmark,"1,85 m",Sporting CP,"Jun 30, 2028",-,-,#42,right,
Orkun Kökçü,€30.00m,Central Midfield,['Attacking Midfield'],Türkiye,"Dec 29, 2000 (23)",Haarlem  ,Netherlands,"1,75 m",SL Benfica,"Jun 30, 2028",-,-,#10,both,
Charles De Ketelaere,€30.00m,Attacking Midfield,"['Centre-Forward', 'Right Winger']",Belgium,"Mar 10, 2001 (23)",Brugge  ,Belgium,"1,92 m",Atalanta BC,"Jun 30, 2024",AC Milan,"Jun 30, 2027",#17,left,
Pedro Gonçalves,€30.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Portugal,"Jun 28, 1998 (25)",Chaves  ,Portugal,"1,73 m",Sporting CP,"Jun 30, 2027",-,-,#8,right,
Ademola Lookman,€30.00m,Second Striker,"['Right Winger', 'Left Winger']",Nigeria,"Oct 20, 1997 (26)",London  ,England,"1,74 m",Atalanta BC,"Jun 30, 2026",-,-,#11,right,Nike
Davide Frattesi,€30.00m,Central Midfield,['Attacking Midfield'],Italy,"Sep 22, 1999 (24)",Roma  ,Italy,"1,78 m",Inter Milan,"Jun 30, 2028",US Sassuolo,"Jun 30, 2026",#16,right,Puma
Nico Schlotterbeck,€30.00m,Centre-Back,['Left-Back'],Germany,"Dec 1, 1999 (24)",Waiblingen  ,Germany,"1,91 m",Borussia Dortmund,"Jun 30, 2027",-,-,#4,left,
Alessandro Buongiorno,€30.00m,Centre-Back,['Left-Back'],Italy,"Jun 6, 1999 (24)",Torino  ,Italy,"1,90 m",Torino FC,"Jun 30, 2028",-,-,#4,left,adidas
Frank Anguissa,€30.00m,Central Midfield,['Defensive Midfield'],Cameroon,"Nov 16, 1995 (28)",Yaoundé  ,Cameroon,"1,84 m",SSC Napoli,"Jun 30, 2025",-,-,#99,right,
Fabián Ruiz,€30.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Spain,"Apr 3, 1996 (28)",Los Palacios y Villafranca  ,Spain,"1,89 m",Paris Saint-Germain,"Jun 30, 2027",-,-,#8,left,adidas
Artem Dovbyk,€30.00m,Centre-Forward,[],Ukraine,"Jun 21, 1997 (26)",Cherkasy  ,Ukraine,"1,89 m",Girona FC,"Jun 30, 2028",-,-,#9,left,
Noussair Mazraoui,€30.00m,Right-Back,"['Left-Back', 'Central Midfield']",Morocco,"Nov 14, 1997 (26)",Leiderdorp  ,Netherlands,"1,83 m",Bayern Munich,"Jun 30, 2026",-,-,#40,right,adidas
Eddie Nketiah,€30.00m,Centre-Forward,"['Right Winger', 'Left Winger']",England,"May 30, 1999 (24)",London  ,England,"1,75 m",Arsenal FC,"Jun 30, 2027",-,-,#14,right,Under Armour
Takehiro Tomiyasu,€30.00m,Right-Back,"['Centre-Back', 'Left-Back']",Japan,"Nov 5, 1998 (25)","Fukuoka, Fukuoka  ",Japan,"1,88 m",Arsenal FC,"Jun 30, 2026",-,-,#18,right,
Malcom,€30.00m,Right Winger,"['Left Winger', 'Second Striker']",Brazil,"Feb 26, 1997 (27)",São Paulo  ,Brazil,"1,71 m",Al-Hilal SFC,"Jun 30, 2027",-,-,#77,left,adidas
Mathias Jensen,€30.00m,Central Midfield,[],Denmark,"Jan 1, 1996 (28)","Jerslev, West Zealand  ",Denmark,"1,80 m",Brentford FC,"Jun 30, 2026",-,-,#8,right,Nike
Ben Chilwell,€30.00m,Left-Back,['Left Midfield'],England,"Dec 21, 1996 (27)",Milton Keynes  ,England,"1,80 m",Chelsea FC,"Jun 30, 2027",-,-,#21,left,Nike
Marcos Llorente,€30.00m,Central Midfield,"['Right Midfield', 'Right-Back']",Spain,"Jan 30, 1995 (29)",Madrid  ,Spain,"1,84 m",Atlético de Madrid,"Jun 30, 2027",-,-,#14,right,Nike
Aleksandr Golovin,€30.00m,Attacking Midfield,"['Central Midfield', 'Left Winger']",Russia,"May 30, 1996 (27)","Kaltan, Kemerovo Oblast  ",Russia,"1,78 m",AS Monaco,"Jun 30, 2026",-,-,#17,right,Nike
Rodrigo de Paul,€30.00m,Central Midfield,['Attacking Midfield'],Argentina,"May 24, 1994 (29)",Sarandí  ,Argentina,"1,80 m",Atlético de Madrid,"Jun 30, 2026",-,-,#5,right,adidas
Otávio,€30.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",Portugal,"Feb 9, 1995 (29)",João Pessoa  ,Brazil,"1,72 m",Al-Nassr FC,"Jun 30, 2026",-,-,#25,right,
José Gayà,€30.00m,Left-Back,[],Spain,"May 25, 1995 (28)",Pedreguer  ,Spain,"1,72 m",Valencia CF,"Jun 30, 2027",-,-,#14,left,Nike
Jonathan Tah,€30.00m,Centre-Back,[],Germany,"Feb 11, 1996 (28)",Hamburg  ,Germany,"1,95 m",Bayer 04 Leverkusen,"Jun 30, 2025",-,-,#4,right,adidas
John McGinn,€30.00m,Central Midfield,"['Left Midfield', 'Defensive Midfield']",Scotland,"Oct 18, 1994 (29)",Glasgow  ,Scotland,"1,78 m",Aston Villa,"Jun 30, 2027",-,-,#7,left,
Stanislav Lobotka,€30.00m,Defensive Midfield,['Central Midfield'],Slovakia,"Nov 25, 1994 (29)",Trenčín  ,Slovakia,"1,68 m",SSC Napoli,"Jun 30, 2027",-,-,#68,right,
João Cancelo,€30.00m,Right-Back,"['Left-Back', 'Right Midfield']",Portugal,"May 27, 1994 (29)",Barreiro  ,Portugal,"1,82 m",FC Barcelona,"Jun 30, 2024",Manchester City,"Jun 30, 2027",#2,right,Nike
Leon Goretzka,€30.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Germany,"Feb 6, 1995 (29)",Bochum  ,Germany,"1,89 m",Bayern Munich,"Jun 30, 2026",-,-,#8,right,
Jan Oblak,€30.00m,Goalkeeper,[],Slovenia,"Jan 7, 1993 (31)",Škofja Loka  ,Slovenia,"1,88 m",Atlético de Madrid,"Jun 30, 2028",-,-,#13,right,Puma
Thibaut Courtois,€30.00m,Goalkeeper,[],Belgium,"May 11, 1992 (31)",Bree  ,Belgium,"2,00 m",Real Madrid,"Jun 30, 2026",-,-,#1,left,Nike
Romelu Lukaku,€30.00m,Centre-Forward,[],Belgium,"May 13, 1993 (30)",Antwerpen  ,Belgium,"1,91 m",AS Roma,"Jun 30, 2024",Chelsea FC,"Jun 30, 2026",#90,left,Nike
Marc-André ter Stegen,€30.00m,Goalkeeper,[],Germany,"Apr 30, 1992 (31)",Mönchengladbach  ,Germany,"1,87 m",FC Barcelona,"Jun 30, 2028",-,-,#1,right,adidas
Mateo Kovacic,€30.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Croatia,"May 6, 1994 (29)",Linz  ,Austria,"1,77 m",Manchester City,"Jun 30, 2027",-,-,#8,right,Nike
Lionel Messi,€30.00m,Right Winger,"['Centre-Forward', 'Second Striker']",Argentina,"Jun 24, 1987 (36)",Rosario  ,Argentina,"1,70 m",Inter Miami CF,"Dec 31, 2025",-,-,#10,left,adidas
Casemiro,€30.00m,Defensive Midfield,[],Brazil,"Feb 23, 1992 (32)",São José dos Campos  ,Brazil,"1,85 m",Manchester United,"Jun 30, 2026",-,-,#18,right,adidas
Hugo Larsson,€28.00m,Central Midfield,['Defensive Midfield'],Sweden,"Jun 27, 2004 (19)",Svarte  ,Sweden,"1,87 m",Eintracht Frankfurt,"Jun 30, 2028",-,-,#16,right,Puma
Danilo,€28.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Brazil,"Apr 29, 2001 (22)",Salvador  ,Brazil,"1,77 m",Nottingham Forest,"Jun 30, 2029",-,-,#28,left,Nike
